config,n_folds,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,sensitivity_recall_mean,specificity_mean,f1_macro_mean,brier_score_mean,train_time_s_mean
"CWZZ-QSVM-robust@noise=0.05,dropout=0.0",5,0.6250199999999999,0.1767784647517904,0.5875,0.1457737973711325,0.5875,0.7,0.475,0.57996,0.23912,0.0
"CWZZ-QSVM-robust@noise=0.0,dropout=0.0",5,0.60312,0.1796787956326511,0.575,0.15,0.575,0.625,0.525,0.57274,0.24372000000000002,0.0
"CWZZ-QSVM-robust@noise=0.1,dropout=0.0",5,0.58126,0.14672231732084934,0.5375,0.15103807466993216,0.5375,0.625,0.45,0.52382,0.24836,0.0
"CWZZ-QSVM-robust@noise=0.3,dropout=0.0",5,0.51254,0.09752131254243865,0.4625,0.03061862178478973,0.4625,0.5,0.425,0.44054000000000004,0.25334,0.0
"CWZZ-QSVM-robust@noise=0.2,dropout=0.0",5,0.48438,0.14251535215547834,0.4375,0.15811388300841897,0.4375,0.525,0.35,0.42517999999999995,0.26098,0.0
